volume	page	year	title	author
1	6	2001	Line & Berry, Chester County Pennsylvania Traditional Decorative Stringing	Steve Latta
1	14	2001	Harold Ionson, The master cabinetmaker's "Derby" demi-lune commodes	Quentin Wheeler
1	17	2001	The Last Liberty Tree	Quentin Wheeler
1	19	2001	Reproducing Benjamin Franklin's Armonica	Steve Lash
1	22	2001	A Museum of Traditional Crafts	Jason Marshall
1	26	2001	Form Follows Process	W Patrick Edwards
1	30	2001	Carving a Philadelphia Chippendale Ball and Claw Cabriole Leg	E Eugene Landon and Bess Jarrell Naylor
2	4	2002	Surface Treatment of Traditional Wood	Mack Headley
2	8	2002	Why Not Period Glue	W Patrick Edwards
2	12	2002	Carving a Queen Anne Fan	George Slack
2	15	2002	Riving Wood for 17th Century Joint Furniture	John Alexander
2	21	2002	John McAlister, Master Cabinet Maker	Quentin Wheeler
2	23	2002	Period Furniture Makers Participate in Wooden Artifacts Group's Study Trip to France	Kathy Gillis
2	25	2002	The Great Secretary Caper	Robert C Whitley
2	27	2002	Reproductions in the Service of Conservation	Michael Podmaniczky
3	7	2003	An American Federal Card Table	Robert Millard
3	15	2003	Making a Sand Shaded Shell	Mark Arnold
3	21	2003	The Goddard-Townsend Shells of Newport	Arthur K Peters
3	40	2003	Queen Ann Desk on Frame	Ronald L Patton
3	49	2003	Making a Sheraton Field Bed	Dennis Bork
3	57	2003	Period Productivity	W Patrick Edwards
3	62	2003	Wood Grain and Its Influences on the Design, Layout, and Machining of Curved Parts	W Mickey Callahan
3	68	2003	A Furniture Design Challenge	Daniel Heyl
3	71	2003	Opinion: Is 18th Century Furniture as Good as Sex	Quentin Wheeler and D Marie Platt
4	6	2004	Carving a Period Shell	Lonnie Bird
4	12	2004	A Massachusetts Shelf Clock	Robert Millard
4	20	2004	Sloyd	Joe Barry
4	32	2004	Photographing Furniture	Robert Millard
4	36	2004	American Innovation, Reproducing the Lombard Eagle	Steve Latta
4	42	2004	The Knife Case, Design and Construction	Steve Lash
5	4	2005	The Cincinnati Price Book of 1830	Andrew Richmond
5	12	2005	Philip C Lowe: A Glimpse into His Life and Work	W Mickey Callahan
5	16	2005	Making an Arrow Banding: A Seymour Detail Explained	Philip C Lowe and Austen Winters
5	24	2005	The Sea Chest	Joe Barry
5	34	2005	A Table Attributed to Black Cabinetmaker Allen Scott	James F Conley
5	40	2005	Reproducing a Seymour Night Stand	Robert Millard
5	48	2005	New Life for a Badlam Side Chair	Mark Arnold
6	5	2006	Fred Stanley: 2006 Cartouche Award Winner	W Mickey Callahan and Robert N Lominack Jr
6	8	2006	Waterleaf Moulding	Joyce Hanna
6	14	2006	The Art and Mystery of Dividers	Joe Barry
6	22	2006	Make-to-Spec vs Traditional Craft	George Walker
6	26	2006	Contemporary Classics: Telfair Museum of Art	Mark Arnold
6	36	2006	A Primer of Common 18th Century Water-based Adhesives	Bess Jarrell Naylor
6	44	2006	In Pursuit of a Sharp Saw	James Crammond
6	50	2006	Recreating the Period Design Process	Andrew Rappaport
6	60	2006	Oil Gilding: An Introduction	Brooke Smith
6	66	2006	Federal Demi-lune Card Table	Fred Stanley
7	4	2007	Fidelity in Period Molding Profiles	Kerry Pierce
7	12	2007	North Bennet Street School Wins 2007 Cartouche Award	W Mickey Callahan
7	18	2007	Handmade	Jeff Headley
7	22	2007	Reflection on the Role of Decorative Arts in the Production of American Furniture	Terry Lutz
7	32	2007	The Design and Construction of a Brickwork Carcass	Steve Lash
7	36	2007	The German Factor	Kaare Loftheim
7	42	2007	The Sunflower Chests of Hartford and Wethersfield Connecticut	Larry Mauritz
7	52	2007	Foxtail Wedging	Bob Stevenson
7	56	2007	Mark Your Work	Joe Barry
7	60	2007	Rediscovering the Christopher Collection	Mark Arnold
7	65	2007	The Wooden Artifacts Group Offers Instructional DVD	Robert Mustain
8	4	2008	A Study of the Photo-oxidization of Wood Using UV Light	David Keller
8	9	2008	American Baroque: Reproducing a William & Mary High Chest	Larry Mauritz
8	19	2008	2008 Cartouche Award Recipient Alf Sharp	W Mickey Callahan
8	22	2008	Late 18th and Early 19th Century Furniture of the Tennessee River Valley	Alf Sharp
8	28	2008	18th Century Design and the Classical Order	George Walker
8	34	2008	Drawing for Carving	Mack Headley
8	44	2008	Vinegar Graining	Terry Lutz
8	50	2008	The Craftsmanship of Philadelphia Windsor Chairmaker Joseph Henzey	Herb Lapp
8	59	2008	A Salem Queen Anne Bonnet Top Highboy: Designing From Photographs	James F Conley
8	68	2008	Carve a Philadelphia Flame Finial	Tony Kubalak
8	72	2008	Scratch Box: Making Moldings the Original Way	Joseph Hemingway
9	4	2009	The Art of Japanning	Donald C Williams
9	12	2009	A Chippendale Breakfront: Designing in the 18th-Century Style	Jeff Justis
9	20	2009	Constructing a Lolling Chair in the Chippendale Style	Tim Talma
9	26	2009	Affordable Upholstery for a Period Reproduction Chair	Michael Mascelli
9	33	2009	A Newport-style Corner Chair	Mike Mcgrail
9	38	2009	Carve the Crest of a Philadelphia Queen Anne Chair	Dan Reahard
9	42	2009	Early American Comb-back Windsor Chairs	Herb Lapp
9	51	2009	A Fan of Consistency: How to Make Identical Sand-shaded Fans	Aaron Hall
9	55	2009	Carve an Egg and Dart Molding	Jim Shapiro
9	60	2009	2009 Cartouche Award Recipient Dennis Bork	Mark Arnold
9	63	2009	A Federal Boston Bed	Dennis Bork
9	66	2009	The Design and Construction of an Oval-back Chair	Justin Kauffman
9	71	2009	Carving the Amazing Acanthus	Mary May
9	78	2009	New London County Connecticut Furniture	Randy Wilkinson
9	86	2009	The Banister-back Chair: Expanding the Horizons of a Novice Joiner	Larry Mauritz
10	2	2010	Steven Lash: 2010 Cartouche Award Recipient	W Mickey Callahan
10	7	2010	The Green Man in the Duke's Closet: An Ancient Motif Crafted with Contemporary Techniques	Steve Lash
10	12	2010	Little Green Men: A Note on the Masked Men of Massachusetts	Gerald W R Ward
10	17	2010	Mysteries of the Pillar and Claw Card Table	D H Phillips
10	22	2010	A Federal Compeche Chair Restored	Cybele T Gontar
10	28	2010	The Construction of a Chippendale Pole Screen	Jeff Taylor
10	34	2010	A Kent-style Mirror Frame	Frederick Wilbur
10	40	2010	Rural Inlay	Steve Latta
10	48	2010	A Laminated Circular Frame	Jim Shapiro
10	54	2010	An Introduction to Cabinetmaker Thomas White	Matthew Hobbs, Ben Hobbs and Calvin Hobbs
10	62	2010	Samuel McIntire's Fruit Basket: The Art of Shallow  Relief Carving	Mary May
10	67	2010	Reviving the Last Liberty Tree	Eugene Landon
10	72	2010	A Veneered Southern Plantation Desk	Michael Armand
10	82	2010	Reproducing the Monticello Birdcage Writing Table	Jim Altemus
11	2	2011	The Nathan Margolis Cabinet Shop's Last Apprentice: Memories, Impressions and Lessons Learned	Nickolas Kotula
11	8	2011	Cabinetmakers and Cabinetmaking in Fairfield County, Ohio Prior to 1850	Deward Watts
11	16	2011	Charleston Queen Anne Easy Chair: A study in Their History and Construction	Steven Dietrich
11	24	2011	Lessons from the Armchair	Ben Hobbs
11	30	2011	Native Son of Perquimans County 2011 Cartouche Award Winner Ben Hobbs	Calvin Hobbs
11	35	2011	Building a Federal Serpentine-front Tea Chest	Aaron Hall
11	40	2011	Carving a Rococo Shell	Allan Breed
11	46	2011	Replicating Gragg	Donald C Williams
11	56	2011	An Eli Terry Pillar and Scroll Shelf Clock	Glen Jewell
11	66	2011	Carving Draped Linen Urns	Joel Ficke
11	74	2011	Recreating the Benjamin Burnham Desk	George Huffman
11	79	2011	A Seymour-inspired Cabinet	Dale M Brown
11	84	2011	Construction of a Burl Wood Kneehole Writing Desk	JB Alegiani
12	2	2012	Allan Breed 2012 Cartouche Award Recipient	Thomas P Hand Sr
12	6	2012	All Bound Up – A Guide to Making Twists	Philip Houck
12	12	2012	Upholstery for Period Furniture Makers	Michael Mascelli
12	19	2012	Unlocking the Secrets of a Swan's Neck Pediment	George Walker
12	24	2012	A Frontier Jack of All Trades Joshua Shipmen and the Business of Making Furniture in the Ohio Country	Andrew Richmond
12	30	2012	Repairing a Dog-damaged Period Chair	Timothy Puro
12	35	2012	The Gate-leg Table: Form Following Function	Larry Mauritz
12	41	2012	Making a Dovetail Saw, Simply	Donald C Williams
12	46	2012	Asphaltum as a Glazing Compound	David A Reeves
12	50	2012	Building a Boston Blockfront Desk	Michael McGrail
12	55	2012	Building a Queen Anne Footstool	Steve Branam
12	60	2012	A Philadelphia Lowboy Facilitated by 3D Modeling	Timothy Killen
12	66	2012	Construction of Federal Period Glazed Doors	Robert Mustain
12	70	2012	The Ball and Claw Foot	Mary May
12	76	2012	The Elliptical Journey: Retracing the Origins of Federal Paterae	Mark Arnold
12	92	2012	A Carpenter's Testament: The John Brown Painted Corner Cabinet	Jerome Bias
13	4	2013	Sleuthing the Origins of a Southern China Press	Jerome Bias
13	10	2013	The Perception of Scale	Jeff Justis
13	12	2013	New Approach to an Old Technique	Jim Moon
13	18	2013	Hartford Cabinetmakers in the Federal Period	Alyce Englund
13	26	2013	Decoding Smith's Key	Matt Cianci
13	32	2013	The Hunt for Patriotic Banding	Michael P Wheeler
13	35	2013	Sculptural Shaping of Furniture: Geometry is Your Friend	Will Neptune
13	46	2013	Will Neptune Carves His Name Among SAPFM Notables	W Mickey Callahan
13	50	2013	The Nathan Marolis Shop's Last Apprentice	Nickolas Kotula
13	56	2013	Classic Shaving Mirror Reflects English Influence	Ron Young
13	64	2013	Dressing Up a Demilune Table	Jay Stallman
13	74	2013	From a Log to a Windsor Settee	Jim Rendi
13	84	2013	How to Build a Corner Cupboard With a Pedigree	Bob Compton
13	86	2013	On the Trail of Secret Formulas for 18th Century Finishes	Marion Smith
13	94	2013	Techniques and Materials: Getting Upholstery Right	Michael Mascelli
14	4	2014	European Influences on American and Colonial Design	W Patrick Edwards
14	10	2014	The Unlikely Path from Physicist to Furnituremaker	JB Alegiani
14	16	2014	The World at Your Fingertips	Jeff Justis
14	22	2014	Strong-Howard House: Touching the Past	Christina Vida and Bob Van Dyke
14	30	2014	The Lowboy Project: Lessons Learned and Applied	John Fitzpatrick
14	34	2014	From Head, Heart, and Hand	Joshua A Klein
14	42	2014	An Upper-crust Table	Tim Demars
14	47	2014	Jefferson's Writing Desk	Richard McGann
14	48	2014	Double-twist Turned Chair	Steve Lash
14	56	2014	Greene & Greene Furniture: Design Without Compromise	Darrell Peart and Edward Bosley
14	62	2014	Leverage Power Tools to Build a Boston 4-drawer Block Chest	Robert LaPlaca
14	72	2014	The Painted Chests of the Connecticut Shore	Benjamin W Colman
14	78	2014	Sing Praise for a Music Stand	Rolly Rhodes
14	84	2014	A Chestful of Craftsmanship	Zachary Dillinger
14	91	2014	Gadrooning: It's in the Cards	James King
14	94	2014	Carve a Rosette with Mary May	Mary May
15	4	2015	Great Road Style: Furniture on the Frontier	Betsy K White
15	10	2015	Doing Justis to Period Furniture	Lloyd Parcell
15	16	2015	Current Work: Bombe' Chest	Jeff Justis
15	22	2015	The Joy of Hidden Treasures	Jeff Justis
15	24	2015	Fluting Quarter Columns	John Fitzpatrick
15	28	2015	Reproducing a Louis XVI Console Table	Tony Smith and Adam Thorpe
15	36	2015	Line and Dart Banding	Frank Vucolo
15	42	2015	Tracing The Roots of Upholstered Furniture	Michael Mascelli
15	50	2015	Taking It From the Top: Rout and Carve a Newport Tea-Table Top	Jim Shapiro
15	57	2015	Blending Mahogany and Walnut into a Classic	Jim Moon
15	60	2015	Reverse-engineering Jefferson's Revolving Bookstand	Daniel D Hrinko
15	66	2015	Elfe Ingenuity: Wide Drawers With A Supporting Muntin	Ron Young
15	68	2015	The Philadelphia Chippendale Highboy Unveiled	Larry Mauritz
15	78	2015	Chester County Desk	Greg Pilotti
15	82	2015	Mastering Ogee Bracket Feet	Jeff Headley
15	86	2015	Picture It in Color: MESDA Corner Cupboard	Amber Clawson
15	92	2015	Measuring and Documenting Period Furniture	W Mickey Callahan and Alyce Englund
16	4	2016	Researching the Cellarette: A Study in Contradictions	Steve Dietrich
16	10	2016	A Toast to Federal-Style Cellarettes	Ron Young
16	18	2016	Ambassador Young, Representative the Great Road Style	Tom Cowan and Ken Johnson
16	26	2016	An Apprentice's Journey: Cabinetmaking ‘Art and Mystery’	Michael W Bell
16	31	2016	Furniture Finishes: Are You a Pragmatist or Purist	Peter Gedrys
16	34	2016	Re-creating the Studley Tool Chest	Jim Moon
16	48	2016	Finishing Dreams: Wyatt's Story	Wyatt McQueen
16	50	2016	A Proper Place for Tea	Canlin Frost
16	56	2016	Take Your Pick: Two Approaches to a Radial-pattern Tabletop	Dave Heller
16	68	2016	Jacobean Journey With Hand Tools	Zachary Dillinger
16	82	2016	Three by Three: Rediscover the Handsbreath	Larry Mauritz
16	90	2016	Embellish a Turned Post with Timeless Acanthus Leaves	Mary May
16	100	2016	Three Years in the Making: but Worth Every Hour	Jeff Justis
17	4	2017	Classy Classwork: Serpentine Chest Revisited	John Kruis
17	6	2017	Wedged Dovetails from Virginia's Shenandoah Country	Sarah Thomas
17	13	2017	Another Solution for Seymour-style Shield-back Chairs	Derek McDonald
17	16	2017	Listening to the Past	Tim Demars
17	22	2017	Bombe' Desk With a Boston Lineage	Jeffery Roberts
17	29	2017	Carving a Furnituremaking Career in New Hampshire	Jonah Ruh Roberts
17	36	2017	A Dressing Glass for My Lady	Bob Stevenson
17	43	2017	Sweet Dreams in a Sleigh Bed	Jim Moon
17	46	2017	George III Pembroke Table	Canlin Frost
17	52	2017	Revisiting Hepplewhite	Jeff Justis
17	54	2017	Hand-tool Solution for Fluted Quarter Columns	Jim Milam
17	58	2017	A Copley Portrait Gets a New Frame	Al Breed
17	66	2017	A Quartet of Techniques for Magnolia Medallion Inlays	Jim Shapiro
17	72	2017	Seymour Ladies Worktable	Michael Patrick Wheeler
17	84	2017	A Rectangular Tea Table in the Townsend-Goddard Style	Jerry Lauchle
17	92	2017	Projects to Develop Skills for Making Furniture	Donald C Williams
17	97	2017	Yes, There is a Future in Period Furnituremaking	Greg Pilotti
18	6	2018	A Family Heirloom Plunged Me Into Eighteenth Century Furniture	Charlie Driggs
18	12	2018	This Guy Can Help You A Lot!	Bruce Hubbard
18	18	2018	What Are You In For	James Journigan
18	26	2018	Federal Period Tea Caddy Construction	Ronnie Young
18	34	2018	Cherished Memories From My Family	Chris Haycox
18	44	2018	Seven Easy Pieces: New Furniture For George Washington	Steven Dietrich
18	55	2018	The Proposal Process: Furnishing George Washington's Boyhood Home	Steven Dietrich
18	58	2018	Queen Anne Chair	Herman Veenendaal
18	70	2018	Inlaid Table From Local Woods	David Upperman
18	77	2018	Tambour Inlay on a Seymour Desk	Robert Stevenson
18	82	2018	Chippendale Chair	David Knuth
18	86	2018	Period Reproduction Upholstery on a Budget	Michael Mascelli
18	92	2018	From Mock-Up to Mozart	Steve Lash
19	5	2019	An Inherited Chest of Joiners Tools	Liane Stevenson Futch
19	12	2019	SAPFM Turn Twenty	Steve Lash and Mickey Callahan
19	16	2019	Federal Style Breakfront	Robert Stevenson
19	24	2019	Replicating the Daniel Webster Desk	Don Williams
19	38	2019	Carved Four Post Bed	Jeff Justis
19	46	2019	Making Seymour's Fancy Little Dressing Mirror	Robert Seibels
19	56	2019	Reproducing a Pair of John Chipman Oxbow Chests	David Boeff
19	65	2019	Decoding Diderot	Mike Mascelli
19	72	2019	Furnishing Ferry Farm	Meghan Budinger
19	84	2019	The Art & Application of Clock Imagery	Aspen Golann
19	94	2019	Finishing Touches	Steve Lash
20	6	2020	My Journey (Cartouche Recipient)	Tony Kubalak
20	14	2020	Construct & Carve a Shell Niche	Mary May
20	20	2020	The Jackson Press	Ronnie Young
20	30	2020	Make Veneered Serpentine Drawer Fronts	W. Francis Brown
20	36	2020	Pinwheel Cabinet	Jeff Thompson
20	42	2020	Hearts & Crown Chairs	Larry Mauritz
20	54	2020	A Nest of Tables	Tim Killen
20	62	2020	Artisan of Diplomacy: A Pair of Chests	Tim Demars
20	70	2020	Oval Stack Laminate Cellarette	Steve Lash
20	80	2020	Mahogany Pie Crust Table	Jeff Justis
20	84	2020	A Furniture Maker’s Life: Robert C. Whitley	Steve Dietrich
20	94	2020	Tall Case Clock	Tony Kubalak
21	6	2021	At Home in New Hampshire (David Lamb Bio)	Mark Travis
21	15	2021	New Hampshire Secretary	David Lamb
21	24	2021	Jonathan Shoemaker Armchair	James Journigan
21	34	2021	A Student’s Perspective	Jim Francis
21	36	2021	Thomas Elfe Chest on Chest	Harry Bishop
21	46	2021	In Memory of Phil Lowe	Mickey Callahan
21	52	2021	The Harp	Steve Lash
21	60	2021	Making Tools to Make a Table	Jim Creasman
21	70	2021	Replicating a Windsor Chair	Ken Neiswender
21	82	2021	Revolutionary Lap Desk	W. Francis Brown
21	88	2021	A Productive Partnership	Rachel Lovett and Frederick Walker
21	90	2021	Mahogany Breakfront	Robert Seibels
21	99	2021	The Living Tools Project	Aspen Golann
22	6	2022	Period Furniture Maker & Teacher	David Feola
22	14	2022	Reverse Engineering Lumbard	Paul Sanow
22	20	2022	Musings on the Salzburger Table	Dale Couch
22	24	2022	Building Georgia's Oldest	Bill Markert
22	32	2022	Marquetry Chevalet	W. Patrick Edwards & Patrice Lejeune
